reference	book	chapter	verse	category	priority	signals	reason	text
Romans 14:23	Romans	14	23	STRUCTURAL VERSE MAPPING	CRITICAL	embedded (14:24); embedded (14:25); embedded (14:26)	The Romans 14:23 paragraph improperly contains three additional parenthetical verse labels and the doxology text. This is a verse-mapping/data-structure defect, not an inclusive-language judgment.	But the one who doubts is condemned if they eat, because it isn't of faith; and whatever is not of faith is sin. (14:24) Now to the one who is able to establish you according to my good news and the preaching of Yeshua the Messiah, according to the revelation of the mystery which has been kept secret through long ages, (14:25) but now is revealed, and by the Scriptures of the prophets, according to the commandment of the age-enduring God, is made known for obedience of faith to all the nations; (14:26) to the only wise God, through Yeshua the Messiah, to whom be the glory forever! Amen.
Romans 16:25	Romans	16	25	STRUCTURAL VERSE MAPPING	CRITICAL	empty verse paragraph	The canonical Romans 16:25 verse paragraph is empty while related doxology text is embedded earlier in Romans 14:23.	
Romans 16:26	Romans	16	26	STRUCTURAL VERSE MAPPING	CRITICAL	literal artifact 016:027	The canonical Romans 16:26 verse paragraph contains the literal artifact “016:027” instead of normal verse text.	016:027
Matthew 2:2	Matthew	2	2	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"""Where is the one who is born King of the Judeans? For we saw his star in the east, and have come to worship him."""
Matthew 3:3	Matthew	3	3	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"For this is the one who was spoken of by Yeshayahu the prophet, saying, ""The voice of one crying in the wilderness, make ready the way of YHWH. Make his paths straight."""
Matthew 3:11	Matthew	3	11	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	I indeed immerse you in water for turning back, but the one who comes after me is mightier than I, whose shoes I am not worthy to carry. He will immerse you in the Ruach of Elohim.
Matthew 4:4	Matthew	4	4	GENERIC PRONOUN HIGH PRIORITY	HIGH	A person; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"But he answered, ""It is written, 'A person shall not live by bread alone, but by every word that proceeds out of the mouth of Elohim.'"""
Matthew 5:11	Matthew	5	11	UNRIPENESS LEXICAL REVIEW	HIGH	unripeness	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	"""Blessed are you when people reproach you, persecute you, and say all kinds of unripeness against you falsely, for my sake."
Matthew 5:31	Matthew	5	31	GENERIC PRONOUN HIGH PRIORITY	HIGH	Whoever; him; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"""It was also said, 'Whoever shall put away his wife, let him give her a writing of divorce,'"
Matthew 5:32	Matthew	5	32	GENERIC PRONOUN HIGH PRIORITY	HIGH	whoever; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	but I tell you that whoever puts away his wife, except for the cause of sexual immorality, makes her an adulteress; and whoever marries her when she is put away commits adultery.
