reference	text
Psalms 1:1	Blessed is the one who doesn't walk in the counsel of the wicked, nor stand in the way of sinners, nor sit in the seat of scoffers;
Psalms 1:2	but his delight is in YHWH's law. On his law he meditates day and night.
Psalms 1:3	He will be like a tree planted by the streams of water, that brings forth its fruit in its season, whose leaf also does not wither. Whatever he does shall prosper.
Psalms 1:4	The wicked are not so, but are like the chaff which the wind drives away.
Psalms 1:5	Therefore the wicked shall not stand in the judgment, nor sinners in the congregation of the righteous.
Psalms 1:6	For YHWH knows the way of the righteous, but the way of the wicked shall perish.
Psalms 2:1	Why do the nations rage, and the peoples plot a vain thing?
Psalms 2:2	The kings of the earth take a stand, and the rulers take counsel together, against YHWH, and against his Anointed, saying,
Psalms 2:3	"""Let's break their bonds apart, and cast their cords from us."""
Psalms 2:4	The one who sits in the heavens will laugh. YHWH will have them in derision.
Psalms 2:5	Then he will speak to them in his anger, and terrify them in his wrath:
Psalms 2:6	"""Yet I have set my king on my holy hill of Tzion."""
Psalms 2:7	"I will tell of the decree. YHWH said to me, ""You are my son. Today I have brought you forth."
Psalms 2:8	Ask of me, and I will give the nations for your inheritance, the uttermost parts of the earth for your possession.
Psalms 2:9	"You shall break them with a rod of iron. You shall dash them in pieces like a potter's vessel."""
Psalms 2:10	Now therefore be wise, you kings. Be instructed, you judges of the earth.
Psalms 2:11	Serve YHWH with reverence, and rejoice with trembling.
Psalms 2:12	Give sincere homage, lest he be angry, and you perish in the way, for his wrath will soon be kindled. Blessed are all those who take refuge in him.
Psalms 3:1	YHWH, how my adversaries have increased! Many are those who rise up against me.
Psalms 3:2	"Many there are who say of my soul, ""There is no help for him in Elohim."" Selah."
Psalms 3:3	But you, YHWH, are a shield around me, my glory, and the one who lifts up my head.
Psalms 3:4	I cry to YHWH with my voice, and he answers me out of his holy hill. Selah.
Psalms 3:5	I laid myself down and slept. I awakened; for YHWH sustains me.
Psalms 3:6	I will not be afraid of tens of thousands of people who have set themselves against me on every side.
Psalms 3:7	Arise, YHWH! Save me, my God! For you have struck all of my enemies on the cheek bone. You have broken the teeth of the wicked.
Psalms 3:8	Salvation belongs to YHWH. Your blessing be on your people. Selah.
Psalms 4:1	Answer me when I call, God of my righteousness. Give me relief from my distress. Have mercy on me, and hear my prayer.
Psalms 4:2	You human beings, how long shall my glory be turned into dishonor? Will you love vanity, and seek after falsehood? Selah.
Psalms 4:3	But know that YHWH has set apart for themselves the one who is godly: YHWH will hear when I call to him.
Psalms 4:4	Stand in awe, and don't sin. Search your own heart on your bed, and be still. Selah.
Psalms 4:5	Offer the sacrifices of righteousness. Put your trust in YHWH.
Psalms 4:6	"Many say, ""Who will show us any good?"" YHWH, let the light of your face shine on us."
Psalms 4:7	You have put gladness in my heart, more than when their grain and their new wine are increased.
Psalms 4:8	In peace I will both lay myself down and sleep, for you, YHWH alone, make me live in safety.
Psalms 5:1	Give ear to my words, YHWH. Consider my meditation.
Psalms 5:2	Listen to the voice of my cry, my King and my God; for to you do I pray.
Psalms 5:3	YHWH, in the morning you shall hear my voice. In the morning I will lay my requests before you, and will watch expectantly.
Psalms 5:4	For you are not an Elohim who has pleasure in wickedness. Brokenness can't live with you.
Psalms 5:5	The arrogant shall not stand in your sight. You hate all workers of iniquity.
Psalms 5:6	You will destroy those who speak lies. YHWH abhors the blood-thirsty and deceitful man.
Psalms 5:7	But as for me, in the abundance of your loving kindness I will come into your house. I will bow toward your holy temple in reverence of you.
Psalms 5:8	Lead me, YHWH, in your righteousness because of my enemies. Make your way straight before my face.
Psalms 5:9	For there is no faithfulness in their mouth. Their heart is destruction. Their throat is an open tomb. They flatter with their tongue.
Psalms 5:10	Hold them guilty, Elohim. Let them fall by their own counsels; Thrust them out in the multitude of their transgressions, for they have rebelled against you.
Psalms 5:11	But let all those who take refuge in you rejoice, Let them always shout for joy, because you defend them. Let them also who love your name be joyful in you.
Psalms 5:12	For you will bless the righteous. YHWH, you will surround him with favor as with a shield.
Psalms 6:1	YHWH, don't rebuke me in your anger, neither discipline me in your wrath.
Psalms 6:2	Have mercy on me, YHWH, for I am faint. YHWH, heal me, for my bones are troubled.
Psalms 6:3	My soul is also in great anguish. But you, YHWH--how long?
Psalms 6:4	Return, YHWH. Deliver my soul, and save me for your loving kindness' sake.
Psalms 6:5	For in death there is no memory of you. In Sheol, who shall give you thanks?
Psalms 6:6	I am weary with my groaning. Every night I flood my bed. I drench my couch with my tears.
Psalms 6:7	My eye wastes away because of grief. It grows old because of all my adversaries.
Psalms 6:8	Depart from me, all you workers of iniquity, for YHWH has heard the voice of my weeping.
Psalms 6:9	YHWH has heard my supplication. YHWH accepts my prayer.
Psalms 6:10	May all my enemies be ashamed and dismayed. They shall turn back, they shall be disgraced suddenly.
Psalms 7:1	YHWH, my God, I take refuge in you. Save me from all those who pursue me, and deliver me,
Psalms 7:2	lest they tear apart my soul like a lion, ripping it in pieces, while there is none to deliver.
Psalms 7:3	YHWH, my God, if I have done this, if there is iniquity in my hands,
Psalms 7:4	if I have rewarded brokenness to the one who was at peace with me (yes, if I have delivered the one who without cause was my adversary),
Psalms 7:5	let the enemy pursue my soul, and overtake it; yes, let him tread my life down to the earth, and lay my glory in the dust. Selah.
Psalms 7:6	Arise, YHWH, in your anger. Lift up yourself against the rage of my adversaries. Awake for me. You have commanded judgment.
Psalms 7:7	Let the congregation of the peoples surround you. Rule over them on high.
Psalms 7:8	YHWH administers judgment to the peoples. Judge me, YHWH, according to my righteousness, and to my integrity that is in me.
Psalms 7:9	Oh let the wickedness of the wicked come to an end, but establish the righteous; their minds and hearts are searched by the righteous Elohim.
Psalms 7:10	My shield is with Elohim, who saves the upright in heart.
Psalms 7:11	Elohim is a righteous judge, yes, an Elohim who has indignation every day.
Psalms 7:12	If someone doesn't relent, they will sharpen their sword; they have bent and strung their bow.
Psalms 7:13	He has also prepared for himself the instruments of death. He makes ready his flaming arrows.
Psalms 7:14	Behold, he travails with iniquity. Yes, he has conceived mischief, and brought forth falsehood.
Psalms 7:15	He has dug a hole, and has fallen into the pit which he made.
Psalms 7:16	The trouble he causes shall return to his own head. His violence shall come down on the crown of his own head.
Psalms 7:17	I will give thanks to YHWH according to YHWH’s righteousness, and will sing praise to the name of YHWH Most High.
Psalms 8:1	YHWH, our YHWH, how majestic is your name in all the earth, who has set your glory above the heavens!
Psalms 8:2	From the lips of babes and infants you have established strength, because of your adversaries, that you might silence the enemy and the avenger.
Psalms 8:3	When I consider your heavens, the work of your fingers, the moon and the stars, which you have ordained;
Psalms 8:4	what is man, that you think of him? What is the child of humanity, that you care for them?
Psalms 8:5	For you have made him a little lower than Elohim, and crowned him with glory and honor.
Psalms 8:6	You make him ruler over the works of your hands. You have put all things under his feet:
Psalms 8:7	All sheep and oxen, yes, and the animals of the field,
Psalms 8:8	The birds of the heavens, the fish of the sea, and whatever passes through the paths of the seas.
