reference	testament	decision_change	current_text	proposed_form	proposed_text	semantic_rationale	grammar_check	capitalization_check	spacing_punctuation_check	reviewed	approved	notes
Genesis 2:9	OT	YES	Out of the ground YHWH Elohim made every tree to grow that is pleasant to the sight, and good for food, including the tree of life in the middle of the garden and the tree of the knowledge of good and evil.	brokenness	Out of the ground YHWH Elohim made every tree to grow that is pleasant to the sight, and good for food, including the tree of life in the middle of the garden and the tree of the knowledge of good and brokenness.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Genesis 2:17	OT	YES	but you shall not eat of the tree of the knowledge of good and evil; for in the day that you eat of it, you will surely die.”	brokenness	but you shall not eat of the tree of the knowledge of good and brokenness; for in the day that you eat of it, you will surely die.”	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Genesis 3:5	OT	YES	for Elohim knows that in the day you eat it, your eyes will be opened, and you will be like Elohim, knowing good and evil.”	brokenness	for Elohim knows that in the day you eat it, your eyes will be opened, and you will be like Elohim, knowing good and brokenness.”	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Genesis 3:22	OT	YES	YHWH Elohim said, “Look, the man has become like one of us, knowing good and evil. Now, lest the man reach out a hand, and also take of the tree of life, and eat, and live forever—”	brokenness	YHWH Elohim said, “Look, the man has become like one of us, knowing good and brokenness. Now, lest the man reach out a hand, and also take of the tree of life, and eat, and live forever—”	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Genesis 6:5	OT	YES	YHWH saw that human wickedness was great in the earth, and that every imagination of the thoughts of the human heart was continually only evil.	brokenness	YHWH saw that human wickedness was great in the earth, and that every imagination of the thoughts of the human heart was continually only brokenness.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Genesis 8:21	OT	YES	YHWH smelled the pleasant aroma. YHWH said in YHWH’s heart, “I will not again curse the ground any more for humanity’s sake because the imagination of the human heart inclines toward evil from youth. I will never again strike every living thing, as I have done.	brokenness	YHWH smelled the pleasant aroma. YHWH said in YHWH’s heart, “I will not again curse the ground any more for humanity’s sake because the imagination of the human heart inclines toward brokenness from youth. I will never again strike every living thing, as I have done.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Genesis 44:4	OT	YES	When they had gone out of the city, and were not yet far off, Yosef said to his steward, “Up, follow after the men. When you overtake them, ask them, ‘Why have you rewarded evil for good?	harm	When they had gone out of the city, and were not yet far off, Yosef said to his steward, “Up, follow after the men. When you overtake them, ask them, ‘Why have you rewarded harm for good?	Adverse-event or injury context: use a concrete harm/adversity term instead of the abstract label evil.	PASS	PASS	PASS	☐	☐	
Numbers 11:1	OT	YES	The people were as murmurers, [speaking] evil in the ears of YHWH: and when YHWH heard it, YHWH’s anger was kindled; and the fire of YHWH burnt among them, and devoured in the uttermost part of the camp.	wrongly	The people were as murmurers, [speaking] wrongly in the ears of YHWH: and when YHWH heard it, YHWH’s anger was kindled; and the fire of YHWH burnt among them, and devoured in the uttermost part of the camp.	Action/predicate context: use grammatical, concrete wrong/wrongdoing wording rather than the abstract label evil.	PASS	PASS	PASS	☐	☐	
Deuteronomy 1:39	OT	YES	Moreover your little ones, whom you said should be a prey, and your children, who this day have no knowledge of good or evil, they shall go in there, and to them will I give it, and they shall possess it.	brokenness	Moreover your little ones, whom you said should be a prey, and your children, who this day have no knowledge of good or brokenness, they shall go in there, and to them will I give it, and they shall possess it.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
Deuteronomy 13:5	OT	YES	That prophet, or that dreamer of dreams, shall be put to death, because he has spoken rebellion against YHWH your God, who brought you out of the land of Mitzrayim, and redeemed you out of the house of bondage, to draw you aside out of the way which YHWH your God commanded you to walk in. So shall you put away the evil from the midst of you.	brokenness	That prophet, or that dreamer of dreams, shall be put to death, because he has spoken rebellion against YHWH your God, who brought you out of the land of Mitzrayim, and redeemed you out of the house of bondage, to draw you aside out of the way which YHWH your God commanded you to walk in. So shall you put away the brokenness from the midst of you.	Conceptual/moral abstract noun: restore brokenness where it is grammatical and preserves the project’s intended contrast.	PASS	PASS	PASS	☐	☐	
