reference	text
Genesis 1:1	In the beginning Elohim created the heavens and the earth.
Genesis 1:2	And the earth was wild and waste, and darkness was over the face of the deep, and the Ruach of Elohim was hovering over the face of the waters.
Genesis 1:3	Elohim said, “Let there be light,” and there was light.
Genesis 1:4	Elohim saw the light, and saw that it was good. Elohim divided the light from the darkness.
Genesis 1:5	Elohim called the light “day”, and the darkness Elohim called “night”. There was evening and there was morning, the first day.
Genesis 1:6	Elohim said, “Let there be an expanse in the middle of the waters, and let it divide the waters from the waters.”
Genesis 1:7	Elohim made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.
Genesis 1:8	Elohim called the expanse “heavens”. There was evening and there was morning, a second day.
Genesis 1:9	Elohim said, “Let the waters under the heavens be gathered together to one place, and let the dry land appear;” and it was so.
Genesis 1:10	Elohim called the dry land “land”, and the gathering together of the waters Elohim called “seas”. Elohim saw that it was good.
Genesis 1:11	Elohim said, “Let the earth yield grass, herbs yielding seeds, and fruit trees bearing fruit after their kind, with their seeds in it, on the earth;” and it was so.
Genesis 1:12	The earth yielded grass, herbs yielding seed after their kind, and trees bearing fruit, with their seeds in it, after their kind; and Elohim saw that it was good.
Genesis 1:13	There was evening and there was morning, a third day.
Genesis 1:14	Elohim said, “Let there be lights in the expanse of the heavens to divide the day from the night; and let them be for signs to mark seasons, days, and years;
Genesis 1:15	and let them be for lights in the expanse of the heavens to give light on the earth;” and it was so.
Genesis 1:16	Elohim made the two great lights: the greater light to rule the day, and the lesser light to rule the night. The Elohim also made the stars.
Genesis 1:17	Elohim set them in the expanse of the heavens to give light to the earth,
Genesis 1:18	and to rule over the day and over the night, and to divide the light from the darkness. Elohim saw that it was good.
Genesis 1:19	There was evening and there was morning, a fourth day.
Genesis 1:20	Elohim said, “Let the waters abound with living beings, and let birds fly above the earth in the open expanse of the heavens.”
Genesis 1:21	Elohim created the large sea creatures and every living creature that moves, with which the waters swarmed, after their kind, and every winged bird after its kind. Elohim saw that it was good.
Genesis 1:22	Elohim blessed them, saying, “Be fruitful, and multiply, and fill the waters in the seas, and let birds multiply on the earth.”
Genesis 1:23	There was evening and there was morning, a fifth day.
Genesis 1:24	Elohim said, “Let the earth produce living beings after their kind, livestock, creeping things, and animals of the earth after their kind;” and it was so.
Genesis 1:25	Elohim made the animals of the earth after their kind, and the livestock after their kind, and everything that creeps on the ground after its kind. Elohim saw that it was good.
Genesis 1:26	Elohim said, “Let us make humankind in our image, after our likeness; and let them have dominion over the fish of the sea, and over the birds of the heavens, and over the livestock, and over all the land, and over every creeping thing that creeps on the land.”
Genesis 1:27	So Elohim created humankind in Elohim’s image; in the image of Elohim Elohim created them; male and female Elohim created them.
Genesis 1:28	Elohim blessed them. Elohim said to them, “Be fruitful, multiply, fill the land, and subdue it. Have dominion over the fish of the sea, over the birds of the heavens, and over every living thing that moves on the earth.”
Genesis 1:29	Elohim said, “Look, I have given you every seed-bearing herb that is on the face of all the earth, and every tree that bears fruit with seed in it. It shall be for your food.”
Genesis 1:30	And to every animal of the earth, and to every bird of the heavens, and to everything that creeps on the earth in which there is living breath, I have given every green herb for food.” And it was so.
Genesis 1:31	Elohim saw everything that Elohim had made, and, look, it was very good. There was evening and there was morning, a sixth day.
Genesis 2:1	The heavens, the earth, and all their vast array were finished.
Genesis 2:2	On the seventh day Elohim finished Elohim’s work which Elohim had done; and Elohim rested on the seventh day from all Elohim’s work which Elohim had done.
Genesis 2:3	Elohim blessed the seventh day, and made it holy, because Elohim rested in it from all Elohim’s work of creation which Elohim had done.
Genesis 2:4	These are the generations of the heavens and the earth when they were created, in the day that YHWH Elohim made earth and heavens.
Genesis 2:5	No shrub of the field was yet in the earth, and no herb of the field had yet sprung up; for YHWH Elohim had not caused it to rain on the earth, and there was no human to till the ground.
Genesis 2:6	but a mist went up from the earth, and watered the whole surface of the ground.
Genesis 2:7	YHWH Elohim formed the human from the dust of the ground and breathed into the human’s nostrils the breath of life, and the human became a living being.
Genesis 2:8	YHWH Elohim planted a garden eastward, in Eden, and there YHWH Elohim put the human whom YHWH Elohim had formed.
Genesis 2:9	Out of the ground YHWH Elohim made every tree to grow that is pleasant to the sight, and good for food, including the tree of life in the middle of the garden and the tree of the knowledge of good and brokenness.
Genesis 2:10	A river went out of Eden to water the garden; and from there it was parted, and became the source of four rivers.
Genesis 2:11	The name of the first is Pishon: it flows through the whole land of Havilah, where there is gold;
Genesis 2:12	and the gold of that land is good. Bdellium and onyx stone are also there.
Genesis 2:13	The name of the second river is Gihon. It is the same river that flows through the whole land of Cush.
Genesis 2:14	The name of the third river is Hiddekel. This is the one which flows in front of Ashur. The fourth river is the Perat.
Genesis 2:15	YHWH Elohim took the human, and put the human into the garden of Eden to cultivate and keep it.
Genesis 2:16	YHWH Elohim commanded the human, saying, “You may freely eat of every tree of the garden;
Genesis 2:17	but you shall not eat of the tree of the knowledge of good and brokenness; for in the day that you eat of it, you will surely die.”
Genesis 2:18	YHWH Elohim said, “It is not good for the human to be alone. I will make a helper corresponding to the human.”
Genesis 2:19	Out of the ground YHWH Elohim formed every animal of the field, and every bird of the heavens, and brought them to the human to see what the human would call them. Whatever the human called every living creature became its name.
Genesis 2:20	The man gave names to all livestock, and to the birds of the heavens, and to every animal of the field; but for the human there was not found a helper comparable to the human.
Genesis 2:21	YHWH Elohim caused the human to fall into a deep sleep. As the human slept, YHWH Elohim took one of the human’s ribs, and closed up the flesh in its place.
Genesis 2:22	YHWH Elohim made a woman from the rib which YHWH Elohim had taken from the human, and brought her to the human.
Genesis 2:23	The man said, “This time—bone from my bones and flesh from my flesh! She shall be called Woman, because out of Man she was taken.”
Genesis 2:24	Therefore a human will leave their father and mother, and will be joined to their spouse, and they will be one flesh.
Genesis 2:25	The man and his wife were both naked, and they were not ashamed.
Genesis 3:1	Now the serpent was more subtle than any animal of the field which YHWH Elohim had made. He said to the woman, “Has Elohim really said, ‘You shall not eat of any tree of the garden’?”
Genesis 3:2	The woman said to the serpent, “We may eat fruit from the trees of the garden,
Genesis 3:3	but not the fruit of the tree which is in the middle of the garden. Elohim has said, ‘You shall not eat of it. You shall not touch it, lest you die.’ ”
Genesis 3:4	The serpent said to the woman, “You won’t really die,
Genesis 3:5	for Elohim knows that in the day you eat it, your eyes will be opened, and you will be like Elohim, knowing good and brokenness.”
Genesis 3:6	When the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was to be desired to make one wise, she took some of its fruit, and ate. Then she gave some to her husband with her, and he ate it, too.
Genesis 3:7	Their eyes were opened, and they both knew that they were naked. They sewed fig leaves together, and made coverings for themselves.
Genesis 3:8	They heard the voice of YHWH Elohim walking in the garden in the wind of the day, and the man and his wife hid themselves from the face of YHWH Elohim among the trees of the garden.
Genesis 3:9	YHWH Elohim called to the man, and said, “Where are you?”
Genesis 3:10	The man said, “I heard your voice in the garden, and I was afraid, because I was naked; so I hid myself.”
Genesis 3:11	Elohim said, “Who told you that you were naked? Have you eaten from the tree that I commanded you not to eat from?”
