reference	testament	book	chapter	verse	current_text	historical_pre_cleanup_text	historical_cleanup_text	in_2026_09_14_lexical_ledger	current_grammar_flags
Genesis 2:9	OT	Genesis	2	9	Out of the ground YHWH Elohim made every tree to grow that is pleasant to the sight, and good for food, including the tree of life in the middle of the garden and the tree of the knowledge of good and evil.	Out of the ground YHWH Elohim made every tree to grow that is pleasant to the sight, and good for food, including the tree of life in the middle of the garden and the tree of the knowledge of good and brokenness.	Out of the ground YHWH Elohim made every tree to grow that is pleasant to the sight, and good for food, including the tree of life in the middle of the garden and the tree of the knowledge of good and evil.	yes	
Genesis 2:17	OT	Genesis	2	17	but you shall not eat of the tree of the knowledge of good and evil; for in the day that you eat of it, you will surely die.”	but you shall not eat of the tree of the knowledge of good and brokenness; for in the day that you eat of it, you will surely die.”	but you shall not eat of the tree of the knowledge of good and evil; for in the day that you eat of it, you will surely die.”	yes	
Genesis 3:5	OT	Genesis	3	5	for Elohim knows that in the day you eat it, your eyes will be opened, and you will be like Elohim, knowing good and evil.”	for Elohim knows that in the day you eat it, your eyes will be opened, and you will be like Elohim, knowing good and brokenness.”	for Elohim knows that in the day you eat it, your eyes will be opened, and you will be like Elohim, knowing good and evil.”	yes	
Genesis 3:22	OT	Genesis	3	22	YHWH Elohim said, “Look, the man has become like one of us, knowing good and evil. Now, lest the man reach out a hand, and also take of the tree of life, and eat, and live forever—”	YHWH Elohim said, “Look, the man has become like one of us, knowing good and brokenness. Now, lest the man reach out a hand, and also take of the tree of life, and eat, and live forever—”	YHWH Elohim said, “Look, the man has become like one of us, knowing good and evil. Now, lest the man reach out a hand, and also take of the tree of life, and eat, and live forever—”	yes	
Genesis 6:5	OT	Genesis	6	5	YHWH saw that human wickedness was great in the earth, and that every imagination of the thoughts of the human heart was continually only evil.	YHWH saw that human wickedness was great in the earth, and that every imagination of the thoughts of the human heart was continually only brokenness.	YHWH saw that human wickedness was great in the earth, and that every imagination of the thoughts of the human heart was continually only evil.	yes	
Genesis 8:21	OT	Genesis	8	21	YHWH smelled the pleasant aroma. YHWH said in YHWH’s heart, “I will not again curse the ground any more for humanity’s sake because the imagination of the human heart inclines toward evil from youth. I will never again strike every living thing, as I have done.	YHWH smelled the pleasant aroma. YHWH said in YHWH’s heart, “I will not again curse the ground any more for humanity’s sake because the imagination of the human heart is brokenness from youth. I will never again strike every living thing, as I have done.	YHWH smelled the pleasant aroma. YHWH said in YHWH’s heart, “I will not again curse the ground any more for humanity’s sake because the imagination of the human heart inclines toward evil from youth. I will never again strike every living thing, as I have done.	yes	
Genesis 44:4	OT	Genesis	44	4	When they had gone out of the city, and were not yet far off, Yosef said to his steward, “Up, follow after the men. When you overtake them, ask them, ‘Why have you rewarded evil for good?	When they had gone out of the city, and were not yet far off, Yosef said to his steward, “Up, follow after the men. When you overtake them, ask them, ‘Why have you rewarded brokenness for good?	When they had gone out of the city, and were not yet far off, Yosef said to his steward, “Up, follow after the men. When you overtake them, ask them, ‘Why have you rewarded evil for good?	yes	
Numbers 11:1	OT	Numbers	11	1	The people were as murmurers, [speaking] evil in the ears of YHWH: and when YHWH heard it, YHWH’s anger was kindled; and the fire of YHWH burnt among them, and devoured in the uttermost part of the camp.	The people were as murmurers, [speaking] brokenness in the ears of YHWH: and when YHWH heard it, YHWH’s anger was kindled; and the fire of YHWH burnt among them, and devoured in the uttermost part of the camp.	The people were as murmurers, [speaking] evil in the ears of YHWH: and when YHWH heard it, YHWH’s anger was kindled; and the fire of YHWH burnt among them, and devoured in the uttermost part of the camp.	yes	
Deuteronomy 1:39	OT	Deuteronomy	1	39	Moreover your little ones, whom you said should be a prey, and your children, who this day have no knowledge of good or evil, they shall go in there, and to them will I give it, and they shall possess it.	Moreover your little ones, whom you said should be a prey, and your children, who this day have no knowledge of good or brokenness, they shall go in there, and to them will I give it, and they shall possess it.	Moreover your little ones, whom you said should be a prey, and your children, who this day have no knowledge of good or evil, they shall go in there, and to them will I give it, and they shall possess it.	yes	
Deuteronomy 13:5	OT	Deuteronomy	13	5	That prophet, or that dreamer of dreams, shall be put to death, because he has spoken rebellion against YHWH your God, who brought you out of the land of Mitzrayim, and redeemed you out of the house of bondage, to draw you aside out of the way which YHWH your God commanded you to walk in. So shall you put away the evil from the midst of you.	That prophet, or that dreamer of dreams, shall be put to death, because he has spoken rebellion against YHWH your God, who brought you out of the land of Mitzrayim, and redeemed you out of the house of bondage, to draw you aside out of the way which YHWH your God commanded you to walk in. So shall you put away the brokenness from the midst of you.	That prophet, or that dreamer of dreams, shall be put to death, because he has spoken rebellion against YHWH your God, who brought you out of the land of Mitzrayim, and redeemed you out of the house of bondage, to draw you aside out of the way which YHWH your God commanded you to walk in. So shall you put away the evil from the midst of you.	yes	
