book	chapter	verse	triggers	text
Ecclesiastes	1	1	king,son	The words of the Preacher, the son of Dawid, king in Yerushalayim:
Ecclesiastes	1	3	person	What does a person gain from all their labor in which they labor under the sun?
Ecclesiastes	1	12	king	I, the Preacher, was king over Israel in Yerushalayim.
Ecclesiastes	1	13	human	I applied my heart to seek and to search out by wisdom concerning all that is done under the heavens. It is a heavy burden that Elohim has given to the human beings to be afflicted with.
Ecclesiastes	2	3	human	I searched in my heart how to cheer my flesh with wine, my heart yet guiding me with wisdom, and how to lay hold of folly, until I might see what it was good for the human beings that they should do under heavens all the days of their lives.
Ecclesiastes	2	8	human	I also gathered silver and gold for myself, and the treasure of kings and of the provinces. I got myself male and female singers, and the delights of the human beings--musical instruments, and that of all sorts.
Ecclesiastes	2	12	king	I turned myself to consider wisdom, madness, and folly: for what can the king's successor do? Just that which has been done long ago.
Ecclesiastes	2	14	person	The wise person's eyes are in their head, and the fool walks in darkness-- and yet I perceived that one event happens to them all.
Ecclesiastes	2	16	person	For of the wise person, even as of the fool, there is no memory for ever, seeing that in the days to come all will have been long forgotten. Indeed, the wise person must die just like the fool!
Ecclesiastes	2	19	he,person	Who knows whether they will be a wise person or a fool? Yet he will have rule over all of my labor in which I have labored, and in which I have shown myself wise under the sun. This also is vanity.
Ecclesiastes	2	21	person	For there is a person whose labor is with wisdom, with knowledge, and with skillfulness; yet they shall leave it for their portion to a person who has not labored for it. This also is vanity and a great brokenness.
Ecclesiastes	2	22	person	For what does a person gain from all their labor and from the striving of their heart, in which they labor under the sun?
Ecclesiastes	2	24	person	There is nothing better for a person than that they should eat and drink, and make their soul enjoy good in their labor. This also I saw, that it is from the hand of Elohim.
Ecclesiastes	2	26	him	For to the one who pleases him, Elohim gives wisdom, knowledge, and joy; but to the sinner they give travail, to gather and to heap up, that they may give to the one who pleases Elohim. This also is vanity and a chasing after wind.
Ecclesiastes	3	10	human	I have seen the burden which Elohim has given to the human beings to be afflicted with.
Ecclesiastes	3	11	person	Elohim has made everything beautiful in its time. The Elohim has also set eternity in their hearts, yet so that a person can't find out the work that Elohim has done from the beginning even to the end.
Ecclesiastes	3	14	people	I know that whatever Elohim does, it shall be forever. Nothing can be added to it, nor anything taken from it; and Elohim has done it, that people should revere before Elohim.
Ecclesiastes	3	18	human	"I said in my heart, ""As for the human beings, Elohim tests them, so that they may see that they themselves are like animals."
Ecclesiastes	3	19	human,person	For that which happens to the human beings happens to animals. Even one thing happens to them. As the one dies, so the other dies. Yes, they have all one breath; and a person has no advantage over the animals: for all is vanity.
Ecclesiastes	3	21	human	"Who knows the human spirit, whether it goes upward, and the spirit of the animal, whether it goes downward to the earth?"""
Ecclesiastes	3	22	person	Therefore I saw that there is nothing better, than that a person should rejoice in their works; for that is their portion: for who can bring them to see what will be after them?
Ecclesiastes	4	4	person	Then I saw all the labor and achievement that is the envy of a person's neighbor. This also is vanity and a striving after wind.
Ecclesiastes	4	8	brother,his,son	There is one who is alone, and they have neither son nor brother. There is no end to all of his labor, neither are his eyes satisfied with wealth. For whom then, do I labor, and deprive my soul of enjoyment? This also is vanity, yes, it is a miserable business.
Ecclesiastes	4	10	his	For if they fall, the one will lift up his fellow; but woe to the one who is alone when they fall, and doesn't have another to lift them up.
Ecclesiastes	4	12	someone	If someone prevails against one who is alone, two shall withstand them; and a threefold cord is not quickly broken.
Ecclesiastes	4	13	king	Better is a poor and wise youth than an old and foolish king who doesn't know how to receive admonition any more.
Ecclesiastes	4	14	he,his,king	For out of prison he came forth to be king; yes, even in his kingdom he was born poor.
Ecclesiastes	4	15	him	I saw all the living who walk under the sun, that they were with the youth, the other, who succeeded him.
Ecclesiastes	4	16	he,him,people	There was no end of all the people, even of all them over whom he was--yet those who come after shall not rejoice in him. Surely this also is vanity and a chasing after wind.
Ecclesiastes	5	9	king	Moreover the profit of the earth is for all. The king profits from the field.
Ecclesiastes	5	11	his	When goods increase, those who eat them are increased; and what advantage is there to its owner, except to feast on them with his eyes?
Ecclesiastes	5	12	person	The sleep of a laboring person is sweet, whether they eat little or much; but the abundance of the rich will not allow them to sleep.
Ecclesiastes	5	13	his	There is a grievous brokenness which I have seen under the sun: wealth kept by its owner to his harm.
Ecclesiastes	5	14	he,his,son	Those riches perish by misfortune, and if he has fathered a son, there is nothing in his hand.
Ecclesiastes	5	15	he,his	As he came forth from his mother's womb, naked shall they go again as they came, and shall take nothing for their labor, which they may carry away in their hand.
Ecclesiastes	6	1	men	There is a brokenness which I have seen under the sun, and it is heavy on men:
Ecclesiastes	6	2	person	a person to whom Elohim gives riches, wealth, and honor, so that they lack nothing for their soul of all that they desire, yet Elohim gives them no power to eat of it, but an alien eats it. This is vanity, and it is a grievous disease.
Ecclesiastes	6	3	he,someone	If someone fathers a hundred children, and lives many years, so that the days of their years are many, but their soul is not filled with good, and moreover they have no burial; I say, that an untimely birth is better than he:
Ecclesiastes	6	6	he	Yes, though he live a thousand years twice told, and yet fails to enjoy good, don't all go to one place?
Ecclesiastes	6	7	person	All the labor of a person is for their mouth, and yet the appetite is not filled.
Ecclesiastes	6	8	person	For what advantage has the wise more than the fool? What does the poor person have, who knows how to walk before the living?
Ecclesiastes	6	10	person	Whatever has been, its name was given long ago; and it is known what a person is; neither can they contend with the one who is mightier than they.
Ecclesiastes	6	11	person	For there are many words that create vanity. What does that profit a person?
Ecclesiastes	6	12	person	For who knows what is good for a person in life, all the days of their vain life which they spend like a shadow? For who can tell a person what will be after them under the sun?
Ecclesiastes	7	2	people	It is better to go to the house of mourning than to go to the house of feasting: for that is the end of all people, and the living should take this to heart.
Ecclesiastes	7	5	person	It is better to hear the rebuke of the wise, than for a person to hear the song of fools.
Ecclesiastes	7	7	person	Surely extortion makes the wise person foolish; and a bribe destroys the understanding.
Ecclesiastes	7	14	person	In the day of prosperity be joyful, and in the day of adversity consider; yes, Elohim has made the one side by side with the other, to the end that a person should not find out anything after them.
Ecclesiastes	7	15	person	All this have I seen in my days of vanity: there is a righteous person who perishes in their righteousness, and there is a broken person who lives long in their brokenness-doing.
