reference	book	chapter	verse	categories	before	after
Genesis 2:9	Genesis	2	9	lexical	Out of the ground YHWH Elohim made every tree to grow that is pleasant to the sight, and good for food, including the tree of life in the middle of the garden and the tree of the knowledge of good and brokenness.	Out of the ground YHWH Elohim made every tree to grow that is pleasant to the sight, and good for food, including the tree of life in the middle of the garden and the tree of the knowledge of good and evil.
Genesis 2:17	Genesis	2	17	lexical	but you shall not eat of the tree of the knowledge of good and brokenness; for in the day that you eat of it, you will surely die.”	but you shall not eat of the tree of the knowledge of good and evil; for in the day that you eat of it, you will surely die.”
Genesis 3:5	Genesis	3	5	lexical	for Elohim knows that in the day you eat it, your eyes will be opened, and you will be like Elohim, knowing good and brokenness.”	for Elohim knows that in the day you eat it, your eyes will be opened, and you will be like Elohim, knowing good and evil.”
Genesis 3:22	Genesis	3	22	lexical	YHWH Elohim said, “Look, the man has become like one of us, knowing good and brokenness. Now, lest the man reach out a hand, and also take of the tree of life, and eat, and live forever—”	YHWH Elohim said, “Look, the man has become like one of us, knowing good and evil. Now, lest the man reach out a hand, and also take of the tree of life, and eat, and live forever—”
Genesis 6:5	Genesis	6	5	lexical	YHWH saw that human wickedness was great in the earth, and that every imagination of the thoughts of the human heart was continually only brokenness.	YHWH saw that human wickedness was great in the earth, and that every imagination of the thoughts of the human heart was continually only evil.
Genesis 8:21	Genesis	8	21	lexical	YHWH smelled the pleasant aroma. YHWH said in YHWH’s heart, “I will not again curse the ground any more for humanity’s sake because the imagination of the human heart is brokenness from youth. I will never again strike every living thing, as I have done.	YHWH smelled the pleasant aroma. YHWH said in YHWH’s heart, “I will not again curse the ground any more for humanity’s sake because the imagination of the human heart inclines toward evil from youth. I will never again strike every living thing, as I have done.
Genesis 19:19	Genesis	19	19	lexical	See now, your servant has found favor in your sight, and you have magnified your loving kindness, which you have shown to me in saving my life. I can’t escape to the mountain, lest brokenness overtake me, and I die.	See now, your servant has found favor in your sight, and you have magnified your loving kindness, which you have shown to me in saving my life. I can’t escape to the mountain, lest disaster overtake me, and I die.
Genesis 37:20	Genesis	37	20	lexical	Come now therefore, and let’s kill him, and cast him into one of the pits, and we will say, ‘A brokenness animal has devoured him.’ We will see what will become of his dreams.”	Come now therefore, and let’s kill him, and cast him into one of the pits, and we will say, ‘A wild animal has devoured him.’ We will see what will become of his dreams.”
Genesis 37:33	Genesis	37	33	lexical	He recognized it, and said, “It is my son’s tunic. A brokenness animal has devoured him. Yosef is without doubt torn in pieces.”	He recognized it, and said, “It is my son’s tunic. A wild animal has devoured him. Yosef is without doubt torn in pieces.”
Genesis 38:10	Genesis	38	10	lexical	The thing which he did was brokenness in YHWH’s sight, and YHWH killed him also.	The thing which he did was wrong in YHWH’s sight, and YHWH killed him also.
Genesis 44:4	Genesis	44	4	lexical	When they had gone out of the city, and were not yet far off, Yosef said to his steward, “Up, follow after the men. When you overtake them, ask them, ‘Why have you rewarded brokenness for good?	When they had gone out of the city, and were not yet far off, Yosef said to his steward, “Up, follow after the men. When you overtake them, ask them, ‘Why have you rewarded evil for good?
Genesis 44:5	Genesis	44	5	lexical	Isn’t this that from which my lord drinks, and by which he indeed divines? You have done brokenness in so doing.’ ”	Isn’t this that from which my lord drinks, and by which he indeed divines? You have done wrong in so doing.’ ”
Genesis 44:34	Genesis	44	34	lexical	For how will I go up to my father, if the boy isn’t with me?—lest I see the brokenness that will come on my father.”	For how will I go up to my father, if the boy isn’t with me?—lest I see the harm that will come on my father.”
Genesis 47:9	Genesis	47	9	lexical	Yaakov said to Pharaoh, “The years of my pilgrimage are one hundred thirty years. The days of the years of my life have been few and brokenness. They have not attained to the days of the years of the life of my fathers in the days of their pilgrimage.”	Yaakov said to Pharaoh, “The years of my pilgrimage are one hundred thirty years. The days of the years of my life have been few and difficult. They have not attained to the days of the years of the life of my fathers in the days of their pilgrimage.”
Genesis 48:16	Genesis	48	16	lexical	the messenger who has redeemed me from all brokenness, bless the lads, and let my name be named on them, and the name of my fathers Avraham and Yitzhak. Let them grow into a multitude upon the earth.”	the messenger who has redeemed me from all harm, bless the lads, and let my name be named on them, and the name of my fathers Avraham and Yitzhak. Let them grow into a multitude upon the earth.”
Genesis 50:15	Genesis	50	15	lexical	When Yosef’s brothers saw that their father was dead, they said, “It may be that Yosef will hate us, and will fully pay us back for all the brokenness which we did to him.”	When Yosef’s brothers saw that their father was dead, they said, “It may be that Yosef will hate us, and will fully pay us back for all the wrong we did to him.”
Genesis 50:17	Genesis	50	17	lexical	‘You shall tell Yosef, “Now please forgive the disobedience of your brothers, and their sin, because they did brokenness to you.” ’ Now, please forgive the disobedience of the servants of the God of your father.” Yosef wept when they spoke to him.	‘You shall tell Yosef, “Now please forgive the disobedience of your brothers, and their sin, because they did wrong to you.” ’ Now, please forgive the disobedience of the servants of the God of your father.” Yosef wept when they spoke to him.
Genesis 50:20	Genesis	50	20	lexical	As for you, you meant brokenness against me, but Elohim meant it for good, to bring about what is this day—to keep many people alive.	As for you, you intended harm against me, but Elohim meant it for good, to bring about what is this day—to keep many people alive.
Exodus 10:10	Exodus	10	10	lexical	"He said to them, ""YHWH be with you if I will let you go with your little ones! See, brokenness is clearly before your faces."	"He said to them, ""YHWH be with you if I will let you go with your little ones! See, trouble is clearly before you."
Exodus 21:14	Exodus	21	14	generic-pronoun	If someone schemes and comes presumptuously on their neighbor to kill him, you shall take him from my altar, that they may die.	If someone schemes and comes presumptuously on their neighbor to kill them, you shall take them from my altar, that they may die.
Exodus 21:16	Exodus	21	16	generic-pronoun	"""Anyone who kidnaps someone and sells him, or if they are found in their hand, they shall surely be put to death."	"""Anyone who kidnaps someone and sells them, or if they are found in their hand, they shall surely be put to death."
Exodus 21:26	Exodus	21	26	generic-pronoun	"""If someone strikes their servant's eye, or their maid's eye, and destroys it, they shall let him go free for their eye's sake."	"""If someone strikes their servant's eye, or their maid's eye, and destroys it, they shall let them go free for their eye's sake."
Exodus 22:1	Exodus	22	1	generic-pronoun	"""If someone steals an ox or a sheep, and kills it, or sells it; he shall pay five oxen for an ox, and four sheep for a sheep."	"""If someone steals an ox or a sheep, and kills it, or sells it; they shall pay five oxen for an ox, and four sheep for a sheep."
Exodus 22:7	Exodus	22	7	generic-pronoun	"""If someone delivers to their neighbor money or stuff to keep, and it is stolen out of the person's house; if the thief is found, he shall pay double."	"""If someone delivers to their neighbor money or stuff to keep, and it is stolen out of the person's house; if the thief is found, they shall pay double."
Exodus 23:2	Exodus	23	2	lexical	You shall not follow a crowd to do brokenness; neither shall you testify in court to side with a multitude to pervert justice;	You shall not follow a crowd to do wrong; neither shall you testify in court to side with a multitude to pervert justice;
Exodus 32:12	Exodus	32	12	lexical	Why should the Egyptians speak, saying, 'He brought them forth for brokenness, to kill them in the mountains, and to consume them from the surface of the earth?' Turn from your fierce wrath, and relent from this brokenness against your people.	Why should the Egyptians speak, saying, 'He brought them forth for harm, to kill them in the mountains, and to consume them from the surface of the earth?' Turn from your fierce wrath, and relent from this harm against your people.
Exodus 32:22	Exodus	32	22	lexical	"Aharon said, ""Don't let the anger of my lord grow hot. You know the people, that they are set on brokenness."	"Aharon said, ""Don't let the anger of my lord grow hot. You know the people, that they are bent on wrongdoing."
Exodus 33:4	Exodus	33	4	lexical	When the people heard this brokenness news, they mourned: and no one put on their jewelry.	When the people heard this bad news, they mourned: and no one put on their jewelry.
Leviticus 5:4	Leviticus	5	4	lexical	"""'Or if anyone swears rashly with their lips to do brokenness, or to do good, whatever it is that a person might utter rashly with an oath, and it is hidden from him; when he knows of it, then he shall be guilty of one of these."	"""'Or if anyone swears rashly with their lips to do harm, or to do good, whatever it is that a person might utter rashly with an oath, and it is hidden from him; when he knows of it, then he shall be guilty of one of these."
Leviticus 11:40	Leviticus	11	40	generic-pronoun	The one who eats of its carcass shall wash their clothes, and be unclean until the evening. He also who carries its carcass shall wash his clothes, and be unclean until the evening.	The one who eats of its carcass shall wash their clothes, and be unclean until the evening. They also who carries its carcass shall wash their clothes, and be unclean until the evening.
