reference	triggers	text
Psalms 1:2	his, he	but his delight is in YHWH's law. On his law he meditates day and night.
Psalms 1:3	he	He will be like a tree planted by the streams of water, that brings forth its fruit in its season, whose leaf also does not wither. Whatever he does shall prosper.
Psalms 2:2	kings, his	The kings of the earth take a stand, and the rulers take counsel together, against YHWH, and against his Anointed, saying,
Psalms 2:5	he, his	Then he will speak to them in his anger, and terrify them in his wrath:
Psalms 2:6	king	"""Yet I have set my king on my holy hill of Tzion."""
Psalms 2:7	son	"I will tell of the decree. YHWH said to me, ""You are my son. Today I have brought you forth."
Psalms 2:10	kings	Now therefore be wise, you kings. Be instructed, you judges of the earth.
Psalms 2:12	he, his, him	Give sincere homage, lest he be angry, and you perish in the way, for his wrath will soon be kindled. Blessed are all those who take refuge in him.
Psalms 3:2	him	"Many there are who say of my soul, ""There is no help for him in Elohim."" Selah."
Psalms 3:4	he, his	I cry to YHWH with my voice, and he answers me out of his holy hill. Selah.
Psalms 4:3	him	But know that YHWH has set apart for themselves the one who is godly: YHWH will hear when I call to him.
Psalms 5:2	king	Listen to the voice of my cry, my King and my God; for to you do I pray.
Psalms 5:6	man	You will destroy those who speak lies. YHWH abhors the blood-thirsty and deceitful man.
Psalms 5:12	him	For you will bless the righteous. YHWH, you will surround him with favor as with a shield.
Psalms 7:5	him	let the enemy pursue my soul, and overtake it; yes, let him tread my life down to the earth, and lay my glory in the dust. Selah.
Psalms 7:13	he, himself, his	He has also prepared for himself the instruments of death. He makes ready his flaming arrows.
Psalms 7:14	he	Behold, he travails with iniquity. Yes, he has conceived mischief, and brought forth falsehood.
Psalms 7:15	he	He has dug a hole, and has fallen into the pit which he made.
Psalms 7:16	he, his	The trouble he causes shall return to his own head. His violence shall come down on the crown of his own head.
Psalms 8:4	man, him	what is man, that you think of him? What is the child of humanity, that you care for them?
Psalms 8:5	him	For you have made him a little lower than Elohim, and crowned him with glory and honor.
Psalms 8:6	him, his	You make him ruler over the works of your hands. You have put all things under his feet:
Psalms 9:12	he	For the one who avenges blood remembers them. He doesn't forget the cry of the afflicted.
Psalms 9:19	man	Arise, YHWH! Don't let man prevail. Let the nations be judged in your sight.
Psalms 9:20	men	Put them in fear, YHWH. Let the nations know that they are only men. Selah.
Psalms 10:3	his, he	For the wicked boasts of his heart's cravings. He blesses the greedy, and condemns YHWH.
Psalms 10:4	his	The wicked, in the pride of his face, has no room in his thoughts for Elohim.
Psalms 10:5	his, he	His ways are prosperous at all times. He is haughty, and your laws are far from his sight. As for all his adversaries, he sneers at them.
Psalms 10:6	he, his	"He says in his heart, ""I shall not be shaken. For generations I shall have no trouble."""
Psalms 10:7	his	His mouth is full of cursing, deceit, and oppression. Under his tongue is mischief and iniquity.
Psalms 10:8	he, his	He lies in wait near the villages. From ambushes, he murders the innocent. His eyes are secretly set against the helpless.
Psalms 10:9	he, his, him	He lurks in secret as a lion in his ambush. He lies in wait to catch the helpless. He catches the helpless, when he draws him in his net.
Psalms 10:10	his	The helpless are crushed. They collapse. They fall under his strength.
Psalms 10:11	he, his	"He says in his heart, ""Elohim has forgotten. Elohim hides Elohim’s face. Elohim will never see it."""
Psalms 10:13	his	"Why does the wicked person condemn Elohim, and say in his heart, ""Elohim won't call me into account?"""
Psalms 10:15	man, his	Break the arm of the wicked. As for the brokenness man, seek out his wickedness until you find none.
Psalms 10:16	king, his	YHWH is King forever and ever! The nations will perish out of his land.
Psalms 10:18	man	to judge the fatherless and the oppressed, that man who is of the earth may terrify no more.
Psalms 12:1	man	Help, YHWH; for the godly man ceases. For the faithful fail from among the children of people.
Psalms 12:4	lord	"who have said, ""With our tongue we will prevail. Our lips are our own. Who is lord over us?"""
Psalms 12:5	him	"""Because of the oppression of the weak and because of the groaning of the needy, I will now arise,"" says YHWH; ""I will set him in safety from those who malign him."""
Psalms 13:4	him	"Lest my enemy say, ""I have prevailed against him;"" Lest my adversaries rejoice when I fall."
Psalms 13:6	he	I will sing to YHWH, because he has been good to me.
Psalms 14:6	his	You frustrate the plan of the poor, because YHWH is his refuge.
Psalms 15:3	man	The one who doesn't slander with their tongue, nor does brokenness to their friend, nor casts slurs against their fellow man;
Psalms 16:8	he	I have set YHWH always before me. Because he is at my right hand, I shall not be moved.
Psalms 17:12	he, his	He is like a lion that is greedy of his prey, as it were a young lion lurking in secret places.
Psalms 17:13	him	Arise, YHWH, confront him. Cast him down. Deliver my soul from the wicked by your sword;
Psalms 17:14	sons	from people by your hand, YHWH, from people of the world, whose portion is in this life. You fill the belly of your cherished ones. Your sons have plenty, and they store up wealth for their children.
Psalms 18:25	man	With the merciful you will show yourself merciful. With the perfect man, you will show yourself perfect.
Psalms 18:48	man	Elohim rescues me from my enemies. Yes, you lift me up above those who rise up against me. You deliver me from the violent man.
Psalms 18:50	king, his	YHWH gives great deliverance to YHWH’s king, and shows loving kindness to YHWH’s anointed, to Dawid and to his seed, forevermore.
Psalms 19:1	his	The heavens declare the glory of Elohim. The expanse shows his handiwork.
Psalms 19:4	he	Their voice has gone out through all the earth, their words to the end of the world. In them he has set a tent for the sun,
Psalms 19:5	bridegroom, his, man	which is as a bridegroom coming out of his chamber, like a strong man rejoicing to run his course.
Psalms 19:6	his	His going forth is from the end of the heavens, his circuit to its ends; There is nothing hidden from its heat.
Psalms 19:12	his	Who can discern his errors? Forgive me from hidden errors.
Psalms 20:4	he	May He grant you your heart's desire, and fulfill all your counsel.
Psalms 20:6	him	Now I know that YHWH saves YHWH’s anointed. YHWH will answer him from YHWH’s holy heavens, with the saving strength of YHWH’s right hand.
Psalms 20:9	king	Save, YHWH! Let the King answer us when we call!
Psalms 21:1	king, he	The king rejoices in your strength, YHWH! How greatly he rejoices in your salvation!
Psalms 21:2	him, his	You have given him his heart's desire, and have not withheld the request of his lips. Selah.
Psalms 21:3	him, his	For you meet him with the blessings of goodness. You set a crown of fine gold on his head.
Psalms 21:4	he, him	He asked life of you, you gave it to him, even length of days forever and ever.
Psalms 21:5	his, him	His glory is great in your salvation. You lay honor and majesty on him.
Psalms 21:6	him	For you make him most blessed forever. You make him glad with joy in your presence.
Psalms 21:7	king, he	For the king trusts in YHWH. Through the loving kindness of the Most High, he shall not be moved.
Psalms 22:4	fathers	Our fathers trusted in you. They trusted, and you delivered them.
Psalms 22:8	he, him	"""He trusts in YHWH; let him deliver him. Let him rescue him, since he delights in him."""
Psalms 22:22	brothers	I will declare your name to my brothers. In the midst of the assembly, I will praise you.
Psalms 22:24	him, he	For YHWH has not despised nor abhorred the affliction of the afflicted, Neither has YHWH hidden YHWH’s face from him; but when he cried to YHWH, YHWH heard.
Psalms 22:25	him	Of you comes my praise in the great assembly. I will pay my vows before those who revere him.
Psalms 22:29	him	All the rich ones of the earth shall eat and worship. All those who go down to the dust shall bow before him, even the one who can't keep their soul alive.
Psalms 22:30	him	Posterity shall serve him. Future generations shall be told about YHWH.
Psalms 24:5	he, his	He shall receive a blessing from YHWH, righteousness from the God of his salvation.
Psalms 24:6	him	This is the generation of those who seek Him, who seek your face-- even Ya'akov. Selah.
Psalms 24:7	king	Lift up your heads, you gates! Be lifted up, you everlasting doors, and the King of glory will come in.
Psalms 24:8	king	Who is the King of glory? YHWH strong and mighty, YHWH mighty in battle.
Psalms 24:9	king	Lift up your heads, you gates; yes, lift them up, you everlasting doors, and the King of glory will come in.
Psalms 24:10	king	Who is this King of glory? YHWH of Armies is the King of glory! Selah.
Psalms 25:12	him, he	What a person is the one who reveres YHWH? YHWH shall instruct him in the way that he shall choose.
Psalms 25:13	his	His soul shall dwell at ease. His seed shall inherit the land.
Psalms 25:15	he	My eyes are ever on YHWH, for he will pluck my feet out of the net.
Psalms 25:22	his	Redeem Israel, Elohim, out all of his troubles.
Psalms 26:4	men	I have not sat with deceitful men, neither will I go in with hypocrites.
Psalms 26:9	men	Don't gather my soul with sinners, nor my life with bloodthirsty men;
Psalms 27:4	his	One thing I have asked of YHWH, that I will seek after, that I may dwell in the house of YHWH all the days of my life, to see YHWH's beauty, and to inquire in his temple.
Psalms 27:5	he, his	For in the day of trouble he will keep me secretly in his pavilion. In the covert of his tent he will hide me. He will lift me up on a rock.
Psalms 27:6	his	Now my head will be lifted up above my enemies around me. I will offer sacrifices of joy in his tent. I will sing, yes, I will sing praises to YHWH.
Psalms 27:10	father	When my father and my mother forsake me, then YHWH will take me up.
Psalms 28:5	his, he	Because they don't regard the works of YHWH, nor the operation of his hands, he will break them down and not build them up.
Psalms 28:7	him	YHWH is my strength and my shield. My heart has trusted in him, and I am helped. Therefore my heart greatly rejoices. With my song I will thank him.
Psalms 29:1	sons	Ascribe to YHWH, you sons of the mighty, ascribe to YHWH glory and strength.
Psalms 29:10	king	YHWH sat enthroned at the Flood. Yes, YHWH sits as King forever.
Psalms 30:4	his	Sing praise to YHWH, you saints of his. Give thanks to his holy name.
Psalms 30:5	his	For his anger is but for a moment. His favor is for a lifetime. Weeping may stay for the night, but joy comes in the morning.
Psalms 31:12	man	I am forgotten from their hearts like a dead man. I am like broken pottery.
Psalms 31:20	man	In the shelter of your presence you will hide them from the plotting of man. You will keep them secretly in a dwelling away from the strife of tongues.
Psalms 31:21	he, his	Praise be to YHWH, for he has shown me his marvelous loving kindness in a strong city.
