reference	testament	book	chapter	verse	matched_terms	current_text
Genesis 2:9	OT	Genesis	2	9	evil	Out of the ground YHWH Elohim made every tree to grow that is pleasant to the sight, and good for food, including the tree of life in the middle of the garden and the tree of the knowledge of good and evil.
Genesis 2:17	OT	Genesis	2	17	evil	but you shall not eat of the tree of the knowledge of good and evil; for in the day that you eat of it, you will surely die.”
Genesis 3:5	OT	Genesis	3	5	evil	for Elohim knows that in the day you eat it, your eyes will be opened, and you will be like Elohim, knowing good and evil.”
Genesis 3:22	OT	Genesis	3	22	evil	YHWH Elohim said, “Look, the man has become like one of us, knowing good and evil. Now, lest the man reach out a hand, and also take of the tree of life, and eat, and live forever—”
Genesis 6:5	OT	Genesis	6	5	evil	YHWH saw that human wickedness was great in the earth, and that every imagination of the thoughts of the human heart was continually only evil.
Genesis 8:21	OT	Genesis	8	21	evil	YHWH smelled the pleasant aroma. YHWH said in YHWH’s heart, “I will not again curse the ground any more for humanity’s sake because the imagination of the human heart inclines toward evil from youth. I will never again strike every living thing, as I have done.
Genesis 17:14	OT	Genesis	17	14	broken	The uncircumcised male who is not circumcised in the flesh of his foreskin, that being shall be cut off from his people. He has broken my covenant.”
Genesis 44:4	OT	Genesis	44	4	evil	When they had gone out of the city, and were not yet far off, Yosef said to his steward, “Up, follow after the men. When you overtake them, ask them, ‘Why have you rewarded evil for good?
Exodus 32:25	OT	Exodus	32	25	broken	When Moshe saw that the people had broken loose, (for Aharon had let them loose for a derision among their enemies),
Leviticus 6:28	OT	Leviticus	6	28	broken	But the earthen vessel in which it is boiled shall be broken; and if it is boiled in a bronze vessel, it shall be scoured, and rinsed in water.
Leviticus 11:35	OT	Leviticus	11	35	broken	Everything whereupon part of their carcass falls shall be unclean; whether oven, or range for pots, it shall be broken in pieces: they are unclean, and shall be unclean to you.
Leviticus 13:20	OT	Leviticus	13	20	broken	and the priest shall examine it; and behold, if the appearance of it is lower than the skin, and the hair of it has turned white, then the priest shall pronounce him unclean. It is the plague of leprosy. It has broken out in the boil.
Leviticus 13:25	OT	Leviticus	13	25	broken	then the priest shall examine it; and behold, if the hair in the bright spot has turned white, and the appearance of it is deeper than the skin; it is leprosy. It has broken out in the burning, and the priest shall pronounce him unclean. It is the plague of leprosy.
Leviticus 13:39	OT	Leviticus	13	39	broken	then the priest shall examine them; and behold, if the bright spots on the skin of their body are a dull white, it is a harmless rash, it has broken out in the skin; he is clean.
Leviticus 15:12	OT	Leviticus	15	12	broken	"""'The earthen vessel, which the one who has the discharge touches, shall be broken; and every vessel of wood shall be rinsed in water."
Leviticus 22:24	OT	Leviticus	22	24	broken	That which has its testicles bruised, crushed, broken, or cut, you shall not offer to YHWH; neither shall you do thus in your land.
Leviticus 26:13	OT	Leviticus	26	13	broken	I am YHWH your God, who brought you forth out of the land of Mitzrayim, that you should not be their slaves; and I have broken the bars of your yoke, and made you go upright.
Numbers 11:1	OT	Numbers	11	1	evil	The people were as murmurers, [speaking] evil in the ears of YHWH: and when YHWH heard it, YHWH’s anger was kindled; and the fire of YHWH burnt among them, and devoured in the uttermost part of the camp.
Numbers 15:31	OT	Numbers	15	31	broken	Because he has despised the word of YHWH, and has broken his commandment, that soul shall utterly be cut off; his iniquity shall be on him.
Deuteronomy 1:35	OT	Deuteronomy	1	35	broken	Surely there shall not one of these men of this broken generation see the good land, which I swore to give to your fathers,
Deuteronomy 1:39	OT	Deuteronomy	1	39	evil	Moreover your little ones, whom you said should be a prey, and your children, who this day have no knowledge of good or evil, they shall go in there, and to them will I give it, and they shall possess it.
Deuteronomy 9:18	OT	Deuteronomy	9	18	broken	I fell down before YHWH, as at the first, forty days and forty nights; I did neither eat bread nor drink water; because of all your sin which you sinned, in doing what was broken in the sight of YHWH, to provoke him to anger.
Deuteronomy 13:5	OT	Deuteronomy	13	5	evil	That prophet, or that dreamer of dreams, shall be put to death, because he has spoken rebellion against YHWH your God, who brought you out of the land of Mitzrayim, and redeemed you out of the house of bondage, to draw you aside out of the way which YHWH your God commanded you to walk in. So shall you put away the evil from the midst of you.
Deuteronomy 17:1	OT	Deuteronomy	17	1	evil	You shall not sacrifice to YHWH your God an ox, or a sheep, in which is a blemish, [or] anything evil; for that is an abomination to YHWH your God.
Deuteronomy 17:5	OT	Deuteronomy	17	5	broken	then shall you bring forth that man or that woman, who has done this broken thing, to your gates, even the person or the woman; and you shall stone them to death with stones.
Deuteronomy 17:7	OT	Deuteronomy	17	7	evil	The hand of the witnesses shall be first on him to put him to death, and afterward the hand of all the people. So you shall put away the evil from the midst of you.
Deuteronomy 17:12	OT	Deuteronomy	17	12	evil	The one who does presumptuously, in not listening to the priest who stands to minister there before YHWH your God, or to the judge, even that man shall die: and you shall put away the evil from Israel.
Deuteronomy 19:19	OT	Deuteronomy	19	19	evil	then shall you do to him, as he had thought to do to his brother: so shall you put away the evil from the midst of you.
Deuteronomy 19:20	OT	Deuteronomy	19	20	evil	Those who remain shall hear, and fear, and shall henceforth commit no more any such evil in the midst of you.
Deuteronomy 21:6	OT	Deuteronomy	21	6	broken	All the elders of that city, who are nearest to the slain man, shall wash their hands over the heifer whose neck was broken in the valley;
Deuteronomy 21:21	OT	Deuteronomy	21	21	evil	All the men of his city shall stone him to death with stones: so shall you put away the evil from the midst of you; and all Israel shall hear, and fear.
Deuteronomy 22:21	OT	Deuteronomy	22	21	evil	then they shall bring out the young lady to the door of her father's house, and the men of her city shall stone her to death with stones, because she has done folly in Israel, to play the prostitute in her father's house: so shall you put away the evil from the midst of you.
Deuteronomy 22:22	OT	Deuteronomy	22	22	evil	If someone be found lying with a woman married to a husband, then they shall both of them die, the one who lay with the woman, and the woman: so shall you put away the evil from Israel.
Deuteronomy 22:24	OT	Deuteronomy	22	24	evil	then you shall bring them both out to the gate of that city, and you shall stone them to death with stones; the lady, because she didn't cry, being in the city; and the person, because they have humbled their neighbor's wife: so you shall put away the evil from the midst of you.
Deuteronomy 23:9	OT	Deuteronomy	23	9	broken	When you go forth in camp against your enemies, then you shall keep you from every broken thing.
Deuteronomy 24:7	OT	Deuteronomy	24	7	evil	If someone be found stealing any of their brothers of the children of Israel, and they deal with them as a slave, or sell them; then that thief shall die: so shall you put away the evil from the midst of you.
Deuteronomy 30:15	OT	Deuteronomy	30	15	evil	Behold, I have set before you this day life and good, and death and evil;
Deuteronomy 31:18	OT	Deuteronomy	31	18	evil	I will surely hide my face in that day for all the evil which they shall have worked, in that they are turned to other gods.
Joshua 23:15	OT	Joshua	23	15	broken	It shall happen, that as all the good things are come on you of which YHWH your God spoke to you, so will YHWH bring on you all the broken things, until YHWH have destroyed you from off this good land which YHWH your God has given you.
Judges 2:11	OT	Judges	2	11	broken	The children of Israel did what was broken in the sight of YHWH, and served the Baals;
Judges 3:7	OT	Judges	3	7	broken	The children of Israel did what was broken in the sight of YHWH, and forgot YHWH their God, and served the Baals and the Asheroth.
Judges 3:12	OT	Judges	3	12	broken	The children of Israel again did what was broken in the sight of YHWH: and YHWH strengthened Eglon the king of Moab against Israel, because they had done what was broken in the sight of YHWH.
Judges 4:1	OT	Judges	4	1	broken	The children of Israel again did what was broken in the sight of YHWH, when Ehud was dead.
Judges 6:1	OT	Judges	6	1	broken	The children of Israel did what was broken in the sight of YHWH: and YHWH delivered them into the hand of Midian seven years.
Judges 6:28	OT	Judges	6	28	broken	When the men of the city arose early in the morning, behold, the altar of Baal was broken down, and the Asherah was cut down that was by it, and the second bull was offered on the altar that was built.
Judges 6:30	OT	Judges	6	30	broken	Then the men of the city said to Yoash, Bring out your son, that he may die, because he has broken down the altar of Baal, and because he has cut down the Asherah that was by it.
Judges 6:31	OT	Judges	6	31	broken	Yoash said to all who stood against him, Will you contend for Baal? Or will you save him? the one who will contend for them, let him be put to death while [it is yet] morning: if they be a god, let him contend for themselves, because one has broken down their altar.
Judges 6:32	OT	Judges	6	32	broken	Therefore on that day he named him Jerubbaal, saying, Let Baal contend against him, because he has broken down his altar.
Judges 10:6	OT	Judges	10	6	broken	The children of Israel again did what was broken in the sight of YHWH, and served the Baals, and the Ashtaroth, and the gods of Aram, and the gods of Tzidon, and the gods of Moab, and the gods of the children of Ammon, and the gods of the Philistines; and they forsook YHWH, and didn't serve him.
Judges 13:1	OT	Judges	13	1	broken	The children of Israel again did what was broken in the sight of YHWH; and YHWH delivered them into the hand of the Philistines forty years.
Judges 16:9	OT	Judges	16	9	broken	"Now she had an ambush waiting in the inner chamber. She said to him, ""The Philistines are on you, Shimshon!"" He broke the cords, as a string of tow is broken when it touches the fire. So his strength was not known."
Judges 20:13	OT	Judges	20	13	evil	Now therefore deliver up the men, the base fellows, who are in Gibeah, that we may put them to death, and put away evil from Israel. But Binyamin would not listen to the voice of their brothers the children of Israel.
1 Samuel 2:4	OT	1 Samuel	2	4	broken	The bows of the mighty people are broken. Those who stumbled are girded with strength.
1 Samuel 2:10	OT	1 Samuel	2	10	broken	Those who strive with YHWH shall be broken to pieces. YHWH will thunder against them in the heavens. YHWH will judge the ends of the earth. YHWH will give strength to YHWH’s king, and exalt the horn of YHWH’s anointed.
1 Samuel 2:23	OT	1 Samuel	2	23	broken	He said to them, Why do you such things? for I hear of your broken dealings from all this people.
1 Samuel 6:9	OT	1 Samuel	6	9	evil	"Behold; if it goes up by the way of its own border to Beit Shemesh, then he has done us this great evil: but if not, then we shall know that it is not his hand that struck us; it was a chance that happened to us."""
1 Samuel 12:19	OT	1 Samuel	12	19	evil	All the people said to Shmuel, Pray for your servants to YHWH your God, that we not die; for we have added to all our sins [this] evil, to ask us a king.
1 Samuel 12:20	OT	1 Samuel	12	20	evil	"Shmuel said to the people, ""Don't be afraid; you have indeed done all this evil; yet don't turn aside from following YHWH, but serve YHWH with all your heart:"
1 Samuel 15:19	OT	1 Samuel	15	19	broken	"Why then didn't you obey the voice of YHWH, but flew on the spoil, and did what was broken in the sight of YHWH?"""
