reference	book	chapter	verse	handledBook	category	priority	signals	reason	text
Exodus 2:13	Exodus	2	13	False	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if the Hebrew/context is generic.	"He went out the second day, and behold, two men of the Hebrews were fighting with each other. They said to the one who did the wrong, ""Why do you strike your fellow?"""
Exodus 2:13	Exodus	2	13	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"He went out the second day, and behold, two men of the Hebrews were fighting with each other. They said to the one who did the wrong, ""Why do you strike your fellow?"""
Exodus 2:22	Exodus	2	22	False	GENERIC PRONOUN REVIEW	REVIEW	a foreigner; he; him	A potentially generic antecedent is paired with masculine pronouns, but the referent may be a specific person. Context/source review required.	"She bore a son, and he named him Gershom, for he said, ""I have lived as a foreigner in a foreign land."""
Exodus 3:2	Exodus	3	2	False	DIVINE-REFERENT REVIEW	HIGH	next-sentence-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	The angel of YHWH appeared to him in a flame of fire out of the midst of a bush. He looked, and behold, the bush burned with fire, and the bush was not consumed.
Exodus 3:4	Exodus	3	4	False	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	"When YHWH saw that he turned aside to see, Elohim called to him out of the midst of the bush, and said, ""Moshe! Moshe!"" He said, ""Here I am."""
Exodus 3:13	Exodus	3	13	False	DIVINE-REFERENT REVIEW	HIGH	divine-attribute	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	"Moshe said to Elohim, ""Behold, when I come to the children of Israel, and tell them, 'The God of your fathers has sent me to you;' and they ask me, 'What is his name?' What should I tell them?"""
Exodus 4:6	Exodus	4	6	False	DIVINE-REFERENT REVIEW	HIGH	divine-attribute	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	"YHWH said furthermore to him, ""Now put your hand inside your cloak."" He put his hand inside his cloak, and when he took it out, behold, his hand was leprous, as white as snow."
Exodus 4:7	Exodus	4	7	False	DIVINE-REFERENT REVIEW	HIGH	divine-attribute	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	"YHWH said, ""Put your hand inside your cloak again."" He put his hand inside his cloak again, and when he took it out of his cloak, behold, it had turned again as his other flesh."
Exodus 4:11	Exodus	4	11	False	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"YHWH said to him, ""Who made a person's mouth? Or who makes one mute, or deaf, or seeing, or blind? Isn't it I, YHWH?"
Exodus 4:20	Exodus	4	20	False	DIVINE-REFERENT REVIEW	HIGH	divine-attribute	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title.	Moshe took his wife and his sons, and set them on a donkey, and he returned to the land of Mitzrayim. Moshe took Elohim's rod in his hand.
