reference	testament	book	chapter	verse	evil_family_forms	standalone_evil_count	compound_evil_count	compound_forms	current_text
Genesis 2:9	OT	Genesis	2	9	evil	1	0		Out of the ground YHWH Elohim made every tree to grow that is pleasant to the sight, and good for food, including the tree of life in the middle of the garden and the tree of the knowledge of good and evil.
Genesis 2:17	OT	Genesis	2	17	evil	1	0		but you shall not eat of the tree of the knowledge of good and evil; for in the day that you eat of it, you will surely die.”
Genesis 3:5	OT	Genesis	3	5	evil	1	0		for Elohim knows that in the day you eat it, your eyes will be opened, and you will be like Elohim, knowing good and evil.”
Genesis 3:22	OT	Genesis	3	22	evil	1	0		YHWH Elohim said, “Look, the man has become like one of us, knowing good and evil. Now, lest the man reach out a hand, and also take of the tree of life, and eat, and live forever—”
Genesis 6:5	OT	Genesis	6	5	evil	1	0		YHWH saw that human wickedness was great in the earth, and that every imagination of the thoughts of the human heart was continually only evil.
Genesis 8:21	OT	Genesis	8	21	evil	1	0		YHWH smelled the pleasant aroma. YHWH said in YHWH’s heart, “I will not again curse the ground any more for humanity’s sake because the imagination of the human heart inclines toward evil from youth. I will never again strike every living thing, as I have done.
Genesis 44:4	OT	Genesis	44	4	evil	1	0		When they had gone out of the city, and were not yet far off, Yosef said to his steward, “Up, follow after the men. When you overtake them, ask them, ‘Why have you rewarded evil for good?
Numbers 11:1	OT	Numbers	11	1	evil	1	0		The people were as murmurers, [speaking] evil in the ears of YHWH: and when YHWH heard it, YHWH’s anger was kindled; and the fire of YHWH burnt among them, and devoured in the uttermost part of the camp.
Deuteronomy 1:39	OT	Deuteronomy	1	39	evil	1	0		Moreover your little ones, whom you said should be a prey, and your children, who this day have no knowledge of good or evil, they shall go in there, and to them will I give it, and they shall possess it.
Deuteronomy 13:5	OT	Deuteronomy	13	5	evil	1	0		That prophet, or that dreamer of dreams, shall be put to death, because he has spoken rebellion against YHWH your God, who brought you out of the land of Mitzrayim, and redeemed you out of the house of bondage, to draw you aside out of the way which YHWH your God commanded you to walk in. So shall you put away the evil from the midst of you.
Deuteronomy 17:1	OT	Deuteronomy	17	1	evil	1	0		You shall not sacrifice to YHWH your God an ox, or a sheep, in which is a blemish, [or] anything evil; for that is an abomination to YHWH your God.
Deuteronomy 17:7	OT	Deuteronomy	17	7	evil	1	0		The hand of the witnesses shall be first on him to put him to death, and afterward the hand of all the people. So you shall put away the evil from the midst of you.
Deuteronomy 17:12	OT	Deuteronomy	17	12	evil	1	0		The one who does presumptuously, in not listening to the priest who stands to minister there before YHWH your God, or to the judge, even that man shall die: and you shall put away the evil from Israel.
Deuteronomy 19:19	OT	Deuteronomy	19	19	evil	1	0		then shall you do to him, as he had thought to do to his brother: so shall you put away the evil from the midst of you.
Deuteronomy 19:20	OT	Deuteronomy	19	20	evil	1	0		Those who remain shall hear, and fear, and shall henceforth commit no more any such evil in the midst of you.
Deuteronomy 21:21	OT	Deuteronomy	21	21	evil	1	0		All the men of his city shall stone him to death with stones: so shall you put away the evil from the midst of you; and all Israel shall hear, and fear.
Deuteronomy 22:21	OT	Deuteronomy	22	21	evil	1	0		then they shall bring out the young lady to the door of her father's house, and the men of her city shall stone her to death with stones, because she has done folly in Israel, to play the prostitute in her father's house: so shall you put away the evil from the midst of you.
Deuteronomy 22:22	OT	Deuteronomy	22	22	evil	1	0		If someone be found lying with a woman married to a husband, then they shall both of them die, the one who lay with the woman, and the woman: so shall you put away the evil from Israel.
Deuteronomy 22:24	OT	Deuteronomy	22	24	evil	1	0		then you shall bring them both out to the gate of that city, and you shall stone them to death with stones; the lady, because she didn't cry, being in the city; and the person, because they have humbled their neighbor's wife: so you shall put away the evil from the midst of you.
Deuteronomy 24:7	OT	Deuteronomy	24	7	evil	1	0		If someone be found stealing any of their brothers of the children of Israel, and they deal with them as a slave, or sell them; then that thief shall die: so shall you put away the evil from the midst of you.
Deuteronomy 30:15	OT	Deuteronomy	30	15	evil	1	0		Behold, I have set before you this day life and good, and death and evil;
Deuteronomy 31:18	OT	Deuteronomy	31	18	evil	1	0		I will surely hide my face in that day for all the evil which they shall have worked, in that they are turned to other gods.
Judges 20:13	OT	Judges	20	13	evil	1	0		Now therefore deliver up the men, the base fellows, who are in Gibeah, that we may put them to death, and put away evil from Israel. But Binyamin would not listen to the voice of their brothers the children of Israel.
1 Samuel 6:9	OT	1 Samuel	6	9	evil	1	0		"Behold; if it goes up by the way of its own border to Beit Shemesh, then he has done us this great evil: but if not, then we shall know that it is not his hand that struck us; it was a chance that happened to us."""
1 Samuel 12:19	OT	1 Samuel	12	19	evil	1	0		All the people said to Shmuel, Pray for your servants to YHWH your God, that we not die; for we have added to all our sins [this] evil, to ask us a king.
1 Samuel 12:20	OT	1 Samuel	12	20	evil	1	0		"Shmuel said to the people, ""Don't be afraid; you have indeed done all this evil; yet don't turn aside from following YHWH, but serve YHWH with all your heart:"
1 Samuel 24:11	OT	1 Samuel	24	11	evil	1	0		Moreover, my father, behold, yes, see the skirt of your robe in my hand; for in that I cut off the skirt of your robe, and didn't kill you, know you and see that there is neither evil nor disobedience in my hand, and I have not sinned against you, though you hunt after my life to take it.
1 Samuel 24:17	OT	1 Samuel	24	17	evil	1	0		He said to Dawid, You are more righteous than I; for you have rendered to me good, whereas I have rendered to you evil.
1 Samuel 25:21	OT	1 Samuel	25	21	evil	1	0		Now Dawid had said, Surely in vain have I kept all that this fellow has in the wilderness, so that nothing was missed of all that pertained to him: and he has returned me evil for good.
1 Samuel 25:26	OT	1 Samuel	25	26	evil	1	0		Now therefore, my lord, as YHWH lives, and as your soul lives, seeing YHWH has withheld you from blood guiltiness, and from avenging yourself with your own hand, now therefore let your enemies, and those who seek evil to my lord, be as Nabal.
2 Samuel 12:9	OT	2 Samuel	12	9	evil	1	0		Why have you despised the word of YHWH, to do that which is evil in his sight? You have struck Uriyah the Hittite with the sword, and have taken his wife to be your wife, and have slain him with the sword of the children of Ammon.
1 Kings 3:9	OT	1 Kings	3	9	evil	1	0		Give your servant therefore an understanding heart to judge your people, that I may discern between good and evil; for who is able to judge this your great people?
1 Kings 16:7	OT	1 Kings	16	7	evil	1	0		Moreover by the prophet Yehu the son of Hanani came the word of YHWH against Baasha, and against his house, both because of all the evil that he did in the sight of YHWH, to provoke him to anger with the work of his hands, in being like the house of Yerovam, and because he struck him.
1 Kings 22:8	OT	1 Kings	22	8	evil	1	0		"The king of Israel said to Yehoshafat, there is yet one man by whom we may inquire of YHWH, Micaiah the son of Imlah: but I hate him; for he does not prophesy good concerning me, but evil. Yehoshafat said, ""Don't let the king say so."""
1 Kings 22:18	OT	1 Kings	22	18	evil	1	0		The king of Israel said to Yehoshafat, Didn't I tell you that he would not prophesy good concerning me, but evil?
2 Kings 8:12	OT	2 Kings	8	12	evil	1	0		Hazael said, Why weeps my lord? He answered, Because I know the evil that you will do to the children of Israel: their strongholds will you set on fire, and their young people will you kill with the sword, and will dash in pieces their little ones, and rip up their women with child.
2 Kings 21:9	OT	2 Kings	21	9	evil	1	0		But they didn't listen: and Menashe seduced them to do that which is evil more than did the nations whom YHWH destroyed before the children of Israel.
2 Kings 25:27	OT	2 Kings	25	27	evilmerodach	0	1	evilmerodach	It happened in the seven and thirtieth year of the captivity of Jehoiachin king of Yehudah, in the twelfth month, on the seven and twentieth day of the month, that Evilmerodach king of Bavel, in the year that he began to reign, did lift up the head of Jehoiachin king of Yehudah out of prison;
2 Chronicles 7:22	OT	2 Chronicles	7	22	evil	1	0		They shall answer, Because they abandoned YHWH, the God of their fathers, who brought them forth out of the land of Mitzrayim, and laid hold on other gods, and worshiped them, and served them: therefore has he brought all this evil on them.
