reference	book	chapter	verse	historical	current	diff
Genesis 2:9	Genesis	2	9	Out of the ground YHWH Elohim made every tree to grow that is pleasant to the sight, and good for food, including the tree of life in the middle of the garden and the tree of the knowledge of good and evil.	Out of the ground YHWH Elohim made every tree to grow that is pleasant to the sight, and good for food, including the tree of life in the middle of the garden and the tree of the knowledge of good and brokenness.	replace: [evil] -> [brokenness]
Genesis 2:17	Genesis	2	17	but you shall not eat of the tree of the knowledge of good and evil; for in the day that you eat of it, you will surely die.”	but you shall not eat of the tree of the knowledge of good and brokenness; for in the day that you eat of it, you will surely die.”	replace: [evil] -> [brokenness]
Genesis 3:5	Genesis	3	5	for Elohim knows that in the day you eat it, your eyes will be opened, and you will be like Elohim, knowing good and evil.”	for Elohim knows that in the day you eat it, your eyes will be opened, and you will be like Elohim, knowing good and brokenness.”	replace: [evil] -> [brokenness]
Genesis 3:22	Genesis	3	22	YHWH Elohim said, “Look, the human has become like one of us, knowing good and evil. Now, lest he reach out his hand, and also take of the tree of life, and eat, and live forever—”	YHWH Elohim said, “Look, the man has become like one of us, knowing good and brokenness. Now, lest the man reach out a hand, and also take of the tree of life, and eat, and live forever—”	replace: [human] -> [man] || replace: [evil] -> [brokenness] || replace: [he] -> [the man] || replace: [his] -> [a]
Genesis 6:5	Genesis	6	5	YHWH saw that the wickedness of man was great in the earth, and that every imagination of the thoughts of man’s heart was continually only evil.	YHWH saw that human wickedness was great in the earth, and that every imagination of the thoughts of the human heart was continually only brokenness.	replace: [the] -> [human] || delete: [of man] -> [∅] || replace: [man’s] -> [the human] || replace: [evil] -> [brokenness]
Genesis 8:21	Genesis	8	21	YHWH smelled the pleasant aroma. YHWH said in his heart, “I will not again curse the ground any more for man’s sake because the imagination of man’s heart is evil from his youth. I will never again strike every living thing, as I have done.	YHWH smelled the pleasant aroma. YHWH said in YHWH’s heart, “I will not again curse the ground any more for humanity’s sake because the imagination of the human heart is brokenness from youth. I will never again strike every living thing, as I have done.	replace: [his] -> [YHWH’s] || replace: [man’s] -> [humanity’s] || replace: [man’s] -> [the human] || replace: [evil] -> [brokenness] || delete: [his] -> [∅]
Genesis 19:19	Genesis	19	19	See now, your servant has found favor in your sight, and you have magnified your loving kindness, which you have shown to me in saving my life. I can’t escape to the mountain, lest evil overtake me, and I die.	See now, your servant has found favor in your sight, and you have magnified your loving kindness, which you have shown to me in saving my life. I can’t escape to the mountain, lest brokenness overtake me, and I die.	replace: [evil] -> [brokenness]
Genesis 37:20	Genesis	37	20	Come now therefore, and let’s kill him, and cast him into one of the pits, and we will say, ‘An evil animal has devoured him.’ We will see what will become of his dreams.”	Come now therefore, and let’s kill him, and cast him into one of the pits, and we will say, ‘A brokenness animal has devoured him.’ We will see what will become of his dreams.”	replace: [An evil] -> [A brokenness]
Genesis 37:33	Genesis	37	33	He recognized it, and said, “It is my son’s tunic. An evil animal has devoured him. Yosef is without doubt torn in pieces.”	He recognized it, and said, “It is my son’s tunic. A brokenness animal has devoured him. Yosef is without doubt torn in pieces.”	replace: [An evil] -> [A brokenness]
Genesis 38:10	Genesis	38	10	The thing which he did was evil in YHWH’s sight, and he killed him also.	The thing which he did was brokenness in YHWH’s sight, and YHWH killed him also.	replace: [evil] -> [brokenness] || replace: [he] -> [YHWH]
Genesis 44:4	Genesis	44	4	When they had gone out of the city, and were not yet far off, Yosef said to his steward, “Up, follow after the men. When you overtake them, ask them, ‘Why have you rewarded evil for good?	When they had gone out of the city, and were not yet far off, Yosef said to his steward, “Up, follow after the men. When you overtake them, ask them, ‘Why have you rewarded brokenness for good?	replace: [evil] -> [brokenness]
Genesis 44:5	Genesis	44	5	Isn’t this that from which my lord drinks, and by which he indeed divines? You have done evil in so doing.’ ”	Isn’t this that from which my lord drinks, and by which he indeed divines? You have done brokenness in so doing.’ ”	replace: [evil] -> [brokenness]
Genesis 44:34	Genesis	44	34	For how will I go up to my father, if the boy isn’t with me?—lest I see the evil that will come on my father.”	For how will I go up to my father, if the boy isn’t with me?—lest I see the brokenness that will come on my father.”	replace: [evil] -> [brokenness]
Genesis 47:9	Genesis	47	9	Yaakov said to Pharaoh, “The years of my pilgrimage are one hundred thirty years. The days of the years of my life have been few and evil. They have not attained to the days of the years of the life of my fathers in the days of their pilgrimage.”	Yaakov said to Pharaoh, “The years of my pilgrimage are one hundred thirty years. The days of the years of my life have been few and brokenness. They have not attained to the days of the years of the life of my fathers in the days of their pilgrimage.”	replace: [evil] -> [brokenness]
Genesis 48:16	Genesis	48	16	the messenger who has redeemed me from all evil, bless the lads, and let my name be named on them, and the name of my fathers Avraham and Yitzhak. Let them grow into a multitude upon the earth.”	the messenger who has redeemed me from all brokenness, bless the lads, and let my name be named on them, and the name of my fathers Avraham and Yitzhak. Let them grow into a multitude upon the earth.”	replace: [evil] -> [brokenness]
Genesis 50:15	Genesis	50	15	When Yosef’s brothers saw that their father was dead, they said, “It may be that Yosef will hate us, and will fully pay us back for all the evil which we did to him.”	When Yosef’s brothers saw that their father was dead, they said, “It may be that Yosef will hate us, and will fully pay us back for all the brokenness which we did to him.”	replace: [evil] -> [brokenness]
Genesis 50:17	Genesis	50	17	‘You shall tell Yosef, “Now please forgive the disobedience of your brothers, and their sin, because they did evil to you.” ’ Now, please forgive the disobedience of the servants of the Elohim of your father.” Yosef wept when they spoke to him.	‘You shall tell Yosef, “Now please forgive the disobedience of your brothers, and their sin, because they did brokenness to you.” ’ Now, please forgive the disobedience of the servants of the God of your father.” Yosef wept when they spoke to him.	replace: [evil] -> [brokenness] || replace: [Elohim] -> [God]
Genesis 50:20	Genesis	50	20	As for you, you meant evil against me, but Elohim meant it for good, to bring about what is this day—to keep many people alive.	As for you, you meant brokenness against me, but Elohim meant it for good, to bring about what is this day—to keep many people alive.	replace: [evil] -> [brokenness]
